JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
GALATI," 12,190     "," 5,257     "," 6,933     "," 2,415     "," 9,775     ", 6.42     , 6.13     , 6.65     ,
GIURGIU," 2,098     "," 1,140     ", 958     , 820     ," 1,278     ", 2.61     , 3.07     , 2.21     ,
GORJ," 5,212     "," 2,387     "," 2,825     "," 2,193     "," 3,019     ", 3.86     , 3.81     , 3.90     ,
HARGHITA," 6,162     "," 3,189     "," 2,973     "," 2,926     "," 3,236     ", 4.56     , 5.36     , 3.93     ,
HUNEDOARA," 5,736     "," 3,156     "," 2,580     "," 3,692     "," 2,044     ", 3.34     , 3.93     , 2.83     ,
IALOMITA," 4,581     "," 2,054     "," 2,527     "," 1,448     "," 3,133     ", 4.88     , 4.74     , 5.00     ,
IASI," 9,356     "," 4,347     "," 5,009     "," 2,084     "," 7,272     ", 3.15     , 3.12     , 3.17     ,
ILFOV," 1,441     ", 884     , 557     , 980     , 461     , 0.69     , 1.00     , 0.47     ,
MARAMURES," 4,697     "," 2,313     "," 2,384     "," 2,180     "," 2,517     ", 2.33     , 2.49     , 2.19     ,
MEHEDINTI," 6,503     "," 2,899     "," 3,604     "," 1,889     "," 4,614     ", 6.38     , 6.10     , 6.61     ,
MUN. BUC.," 15,251     "," 8,167     "," 7,084     "," 4,697     "," 10,554     ", 1.24     , 1.33     , 1.14     ,
MURES," 6,423     "," 3,036     "," 3,387     "," 2,231     "," 4,192     ", 2.73     , 2.89     , 2.59     ,
NEAMT," 9,034     "," 4,231     "," 4,803     "," 2,588     "," 6,446     ", 4.96     , 5.09     , 4.86     ,
OLT," 9,441     "," 4,294     "," 5,147     "," 2,301     "," 7,140     ", 5.86     , 5.80     , 5.90     ,
PRAHOVA," 8,571     "," 4,536     "," 4,035     "," 4,501     "," 4,070     ", 2.95     , 3.68     , 2.41     ,
SALAJ," 5,419     "," 2,537     "," 2,882     "," 1,820     "," 3,599     ", 5.24     , 5.60     , 4.96     ,
SATU M.," 5,458     "," 2,548     "," 2,910     "," 1,083     "," 4,375     ", 3.73     , 3.78     , 3.69     ,
SIBIU," 5,496     "," 2,713     "," 2,783     "," 2,414     "," 3,082     ", 2.80     , 3.17     , 2.51     ,
SUCEAVA," 11,804     "," 5,483     "," 6,321     "," 4,929     "," 6,875     ", 5.10     , 5.17     , 5.04     ,
TELEORMAN," 9,151     "," 3,907     "," 5,244     "," 1,875     "," 7,276     ", 6.52     , 5.70     , 7.29     ,
TIMIS," 4,446     "," 2,534     "," 1,912     "," 2,892     "," 1,554     ", 1.27     , 1.64     , 0.98     ,
TULCEA," 2,520     "," 1,203     "," 1,317     ", 992     ," 1,528     ", 3.04     , 3.11     , 2.99     ,
VALCEA," 5,795     "," 2,841     "," 2,954     "," 2,860     "," 2,935     ", 3.59     , 3.93     , 3.32     ,
VASLUI," 9,770     "," 4,238     "," 5,532     "," 1,946     "," 7,824     ", 7.32     , 6.55     , 8.04     ,
VRANCEA," 5,698     "," 2,462     "," 3,236     "," 1,295     "," 4,403     ", 4.18     , 3.86     , 4.46     ,
Total ," 296,051     "," 141,801     "," 154,250     "," 100,740     "," 195,311     ", 3.38     , 3.54     , 3.25     ,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
